timestamp,day_of_week,date,time,facility_name,status,percent_full,raw_text
2026-03-30T16:53:45-07:00,Monday,2026-03-30,16:53:45,Main Gym Fitness Gym,Available,43,Main Gym Fitness Gym - Available 43% full
2026-03-30T16:53:45-07:00,Monday,2026-03-30,16:53:45,Outback Climbing Center,Very Active,99,Outback Climbing Center - Very Active 99% full
2026-03-30T16:53:45-07:00,Monday,2026-03-30,16:53:45,RIMAC Fitness Gym,Active,78,RIMAC Fitness Gym - Active 78% full
2026-03-30T16:53:45-07:00,Monday,2026-03-30,16:53:45,Triton Esports Center,Active,71,Triton Esports Center - Active 71% full
2026-03-30T16:55:19-07:00,Monday,2026-03-30,16:55:19,Main Gym Fitness Gym,Available,39,Main Gym Fitness Gym - Available 39% full
2026-03-30T16:55:19-07:00,Monday,2026-03-30,16:55:19,Outback Climbing Center,Very Active,99,Outback Climbing Center - Very Active 99% full
2026-03-30T16:55:19-07:00,Monday,2026-03-30,16:55:19,RIMAC Fitness Gym,Active,80,RIMAC Fitness Gym - Active 80% full
2026-03-30T16:55:19-07:00,Monday,2026-03-30,16:55:19,Triton Esports Center,Active,68,Triton Esports Center - Active 68% full
2026-03-30T18:47:29-07:00,Monday,2026-03-30,18:47:29,Main Gym Fitness Gym,Available,36,Main Gym Fitness Gym - Available 36% full
2026-03-30T18:47:29-07:00,Monday,2026-03-30,18:47:29,Outback Climbing Center,Very Active,99,Outback Climbing Center - Very Active 99% full
2026-03-30T18:47:29-07:00,Monday,2026-03-30,18:47:29,RIMAC Fitness Gym,Active,80,RIMAC Fitness Gym - Active 80% full
2026-03-30T18:47:29-07:00,Monday,2026-03-30,18:47:29,Triton Esports Center,Active,54,Triton Esports Center - Active 54% full
2026-03-30T18:48:43-07:00,Monday,2026-03-30,18:48:43,Main Gym Fitness Gym,Available,36,Main Gym Fitness Gym - Available 36% full
2026-03-30T18:48:43-07:00,Monday,2026-03-30,18:48:43,Outback Climbing Center,Very Active,99,Outback Climbing Center - Very Active 99% full
2026-03-30T18:48:43-07:00,Monday,2026-03-30,18:48:43,RIMAC Fitness Gym,Active,78,RIMAC Fitness Gym - Active 78% full
2026-03-30T18:48:43-07:00,Monday,2026-03-30,18:48:43,Triton Esports Center,Active,54,Triton Esports Center - Active 54% full
2026-03-30T21:23:39-07:00,Monday,2026-03-30,21:23:39,Main Gym Fitness Gym,Available,39,Main Gym Fitness Gym - Available 39% full
2026-03-30T21:23:39-07:00,Monday,2026-03-30,21:23:39,Outback Climbing Center,Very Active,99,Outback Climbing Center - Very Active 99% full
2026-03-30T21:23:39-07:00,Monday,2026-03-30,21:23:39,RIMAC Fitness Gym,Very Active,85,RIMAC Fitness Gym - Very Active 85% full
2026-03-30T21:23:39-07:00,Monday,2026-03-30,21:23:39,Triton Esports Center,Available,32,Triton Esports Center - Available 32% full
2026-03-30T22:58:28-07:00,Monday,2026-03-30,22:58:28,Main Gym Fitness Gym,Available,6,Main Gym Fitness Gym - Available 6% full
2026-03-30T22:58:28-07:00,Monday,2026-03-30,22:58:28,Outback Climbing Center,Closed,0,Outback Climbing Center - Closed
2026-03-30T22:58:28-07:00,Monday,2026-03-30,22:58:28,RIMAC Fitness Gym,Available,20,RIMAC Fitness Gym - Available 20% full
2026-03-30T22:58:28-07:00,Monday,2026-03-30,22:58:28,Triton Esports Center,Closed,0,Triton Esports Center - Closed
2026-03-31T00:19:01-07:00,Tuesday,2026-03-31,00:19:01,Main Gym Fitness Gym,Closed,0,Main Gym Fitness Gym - Closed
2026-03-31T00:19:01-07:00,Tuesday,2026-03-31,00:19:01,Outback Climbing Center,Closed,0,Outback Climbing Center - Closed
2026-03-31T00:19:01-07:00,Tuesday,2026-03-31,00:19:01,RIMAC Fitness Gym,Closed,0,RIMAC Fitness Gym - Closed
2026-03-31T00:19:01-07:00,Tuesday,2026-03-31,00:19:01,Triton Esports Center,Closed,0,Triton Esports Center - Closed
2026-03-31T01:17:31-07:00,Tuesday,2026-03-31,01:17:31,Main Gym Fitness Gym,Closed,0,Main Gym Fitness Gym - Closed
2026-03-31T01:17:31-07:00,Tuesday,2026-03-31,01:17:31,Outback Climbing Center,Closed,0,Outback Climbing Center - Closed
2026-03-31T01:17:31-07:00,Tuesday,2026-03-31,01:17:31,RIMAC Fitness Gym,Closed,0,RIMAC Fitness Gym - Closed
2026-03-31T01:17:31-07:00,Tuesday,2026-03-31,01:17:31,Triton Esports Center,Closed,0,Triton Esports Center - Closed
2026-03-31T02:34:58-07:00,Tuesday,2026-03-31,02:34:58,Main Gym Fitness Gym,Closed,0,Main Gym Fitness Gym - Closed
2026-03-31T02:34:58-07:00,Tuesday,2026-03-31,02:34:58,Outback Climbing Center,Closed,0,Outback Climbing Center - Closed
2026-03-31T02:34:58-07:00,Tuesday,2026-03-31,02:34:58,RIMAC Fitness Gym,Closed,0,RIMAC Fitness Gym - Closed
2026-03-31T02:34:58-07:00,Tuesday,2026-03-31,02:34:58,Triton Esports Center,Closed,0,Triton Esports Center - Closed
2026-03-31T03:36:22-07:00,Tuesday,2026-03-31,03:36:22,Main Gym Fitness Gym,Closed,0,Main Gym Fitness Gym - Closed
2026-03-31T03:36:22-07:00,Tuesday,2026-03-31,03:36:22,Outback Climbing Center,Closed,0,Outback Climbing Center - Closed
2026-03-31T03:36:22-07:00,Tuesday,2026-03-31,03:36:22,RIMAC Fitness Gym,Closed,0,RIMAC Fitness Gym - Closed
2026-03-31T03:36:22-07:00,Tuesday,2026-03-31,03:36:22,Triton Esports Center,Closed,0,Triton Esports Center - Closed
