facility_name,day,start_bucket,start_time,end_time,window_minutes,window_label,avg_percent,peak_percent,sample_floor,sample_total,confidence,source_scope,score
Main Gym Fitness Gym,Saturday,65,16:15,17:45,90,16:15 -> 16:30 -> 16:45 -> 17:00 -> 17:15 -> 17:30,11.3,24.25,4,27,Low,same_day,16.877
RIMAC Fitness Gym,Saturday,54,13:30,15:00,90,13:30 -> 13:45 -> 14:00 -> 14:15 -> 14:30 -> 14:45,33.62,49.0,4,27,Low,same_day,47.315
